date,market,turnover_krw,close,institution_net_x,individual_net_x,foreign_net_x,individual_ratio,foreign_ratio,institution_ratio,institution_net_y,individual_net_y,foreign_net_y,institution_net,individual_net,foreign_net,turnover_ma20,turnover_std20,turnover_ratio20,turnover_z20,turnover_chg_5d,turnover_chg_20d,ret_1d,ret_5d,ret_20d
2022-01-27,KOSPI,20548835000000.0,2614.49,,,,,,,,,,,,,11152707894736.842,2794919174950.7793,1.8424973731892822,3.361860045712639,1.3161399131516642,,-0.034972907531263364,-0.08669847834895972,
2022-01-28,KOSDAQ,9071938000000.0,872.87,,,,,,,,,,,,,9368232600000.0,1434587797883.104,0.9683724121025774,-0.20653640051673106,0.14116303320993295,,0.027836981736396593,-0.07422177440738187,
2022-01-28,KOSPI,13753057000000.0,2663.34,,,,,,,,,,,,,11282725350000.0,2781821082794.4736,1.218948132952647,0.8880267912551847,0.283160889963042,,0.01868433231720168,-0.0603149289592807,
2022-02-03,KOSDAQ,9307434000000.0,891.6,,,,,,,,,,,,,9328975400000.0,1424429682790.7317,0.9976909146957339,-0.01512282442598097,0.17251388760113362,-0.07779419688408651,0.021457949064580095,-0.02599956303255402,-0.14089976200341092
2022-02-03,KOSPI,12472536000000.0,2707.82,,,,,,,,,,,,,11496657800000.0,2694940946175.3687,1.0848836433141464,0.36211487356892025,0.3404855784158425,0.5221757390601067,0.016700834290777733,-0.030150429799426837,-0.09400188037219315
2022-02-04,KOSDAQ,9138398000000.0,902.87,,,,,,,,,,,,,9178924250000.0,1261544726152.8171,0.9955848584326208,-0.0321243069388337,0.03185606765465199,-0.24721302605783257,0.012640197397936204,0.01509938837920477,-0.12483764030785338
2022-02-04,KOSPI,11393256000000.0,2750.26,,,,,,,,,,,,,11566746900000.0,2671864038710.8003,0.9850008907863281,-0.06493253305048823,-0.026296081213953215,0.1402978179195582,0.015673124506060176,0.010980043302614817,-0.07994674231577248
2022-02-07,KOSDAQ,8037458000000.0,899.4,,,,,,,,,,,,,8978404650000.0,1088370459056.4585,0.8951989037384275,-0.8645462968700338,-0.09406224723781942,-0.3328720062085766,-0.003843299699846092,0.01962384790667615,-0.10916978665240396
2022-02-07,KOSPI,11291948000000.0,2745.06,,,,,,,,,,,,,11359923150000.0,2512555233732.8936,0.9940162315270592,-0.02705419132180015,0.257633515307905,-0.2681074404039868,-0.001890730330950663,0.013221420029233322,-0.07072177442560346
2022-02-08,KOSDAQ,9593501000000.0,895.27,,,,,,,,,,,,,8860698550000.0,851977460075.3042,1.082702559608012,0.8601195270297753,0.061510978037286446,-0.19703684992403925,-0.004591950189014926,0.0542138172226605,-0.08673875344282356
2022-02-08,KOSPI,11785877000000.0,2746.47,,,,,,,,,,,,,11284360250000.0,2473652681041.303,1.0444435252764994,0.2027433979894391,-0.4264454894888202,-0.11365290342618917,0.0005136499748639167,0.05048020837715961,-0.059598771455866006
2022-02-09,KOSDAQ,6782622000000.0,910.53,,,,,,,,,,,,,8708815900000.0,938298983151.954,0.7788225262633006,-2.0528572817264368,-0.2523513718898872,-0.3093246370391868,0.017045137221173512,0.04314502732365644,-0.08504160135053662
2022-02-09,KOSPI,10337571000000.0,2768.85,,,,,,,,,,,,,11272117750000.0,2477911766611.616,0.9170921764013688,-0.3771509391869639,-0.24834376822549342,-0.023137427626438223,0.008148641710996385,0.03961567054900983,-0.06296004250581244
2022-02-10,KOSDAQ,7714203000000.0,895.68,,,,,,,,,,,,,8617715650000.0,942180748012.9496,0.8951563631598821,-0.958958938511002,-0.17117832906470243,-0.19106179311525084,-0.016309182564001157,0.004576043068640567,-0.08639507129888413
2022-02-10,KOSPI,12776154000000.0,2771.93,,,,,,,,,,,,,11391034050000.0,2490780986012.8413,1.1215973847431349,0.5560986525022634,0.02434292432589502,0.22873296230712792,0.0011123751738086884,0.023675872103758655,-0.052888557839492645
2022-02-11,KOSDAQ,7707269000000.0,877.42,,,,,,,,,,,,,8515440950000.0,923316818727.3472,0.9050933527993051,-0.8752921354924987,-0.15660611411321768,-0.2097348207887344,-0.02038674526616646,-0.028187889729418436,-0.09536869020125371
2022-02-11,KOSPI,10992603000000.0,2747.71,,,,,,,,,,,,,11408337100000.0,2486535313746.755,0.9635587468746869,-0.16719412658313088,-0.03516580334892849,0.032504544668118474,-0.008737594383696479,-0.0009271850661393133,-0.06137570113890234
2022-02-14,KOSDAQ,6732108000000.0,852.79,,,,,,,,,,,,,8352954450000.0,937513055510.8638,0.8059553108181979,-1.7288788038442606,-0.16240831367330322,-0.3255642898632496,-0.02807093524195936,-0.05182343784745391,-0.13975164677756158
2022-02-14,KOSPI,11579387000000.0,2704.48,,,,,,,,,,,,,11442538750000.0,2483810854035.1514,1.011959605555192,0.055096083414596146,0.025455218178475514,0.06278208124306928,-0.015733101382605863,-0.014782919134736505,-0.0901604047798471
2022-02-15,KOSDAQ,6961354000000.0,839.92,,,,,,,,,,,,,8198773850000.0,897302959886.2716,0.8490725719919693,-1.3790435397168828,-0.27436772039738155,-0.3069808299998228,-0.015091640380398452,-0.06182492432450548,-0.1457716755657259
2022-02-15,KOSPI,9435834000000.0,2676.54,,,,,,,,,,,,,11341381500000.0,2523979196481.275,0.8319827703529769,-0.7549774984899076,-0.19939483502161104,-0.17655543308003274,-0.010331006330237202,-0.025461774568810047,-0.09640152729998086
2022-02-16,KOSDAQ,7281489000000.0,878.15,,,,,,,,,,,,,8097563600000.0,879867466636.3073,0.8992197356745676,-0.9274971867295145,0.0735507595735101,-0.21752327123586912,0.04551623964187068,-0.03556170581968743,-0.09598616415651795
2022-02-16,KOSPI,8389883000000.0,2729.68,,,,,,,,,,,,,11220888750000.0,2607343317788.3306,0.7477021817901902,-1.0857817344903355,-0.1884086696961984,-0.22314013543661892,0.019853990599804083,-0.014146667388988288,-0.06579235571131314
2022-02-17,KOSDAQ,8927374000000.0,874.22,,,,,,,,,,,,,8151291400000.0,896781372741.5121,1.0952097725275776,0.8654089208247836,0.15726459363332812,0.13683699278399164,-0.004475317428685233,-0.023959449803501176,-0.08735776177053967
2022-02-17,KOSPI,11812905000000.0,2744.09,,,,,,,,,,,,,11291708350000.0,2603005589775.895,1.0461574665094853,0.20022878631039445,-0.07539428532248438,0.13623721722850735,0.005279007063099028,-0.010043543668129984,-0.05052074322687783
2022-02-18,KOSDAQ,6306614000000.0,881.71,,,,,,,,,,,,,8057627850000.0,986932506719.2745,0.7826886668636601,-1.7741981727004383,-0.18173168732011302,-0.229009454289394,0.00856763743680089,0.004889334640195253,-0.06592580036866746
2022-02-18,KOSPI,8508342000000.0,2744.52,,,,,,,,,,,,,11215077200000.0,2663618893194.026,0.7586521116412823,-1.016187115550255,-0.22599387970256002,-0.15263702243758448,0.00015670039976822814,-0.0011609667686910408,-0.041798173337429745
2022-02-21,KOSDAQ,5780450000000.0,884.25,,,,,,,,,,,,,7959200150000.0,1109841376071.3884,0.7262601632150185,-1.9631185113248617,-0.1413610714504283,-0.2540396159299957,0.0028807657846683377,0.03689067648541844,-0.05316415033729516
